droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,4,228,749.51,831.68,17.46,24.508799,10x,1.425
2,1,18,507.28,382.56,17.18,24.105474,10x,1.425
3,4,47,342.37,591.43,18.52,25.994925,10x,1.425
4,2,120,375.84,327.41,17.67,24.797324,10x,1.425
5,2,202,780.92,267.41,21.27,29.846203,10x,1.425
6,1,209,566.73,501.69,17.75,24.912569,10x,1.425
7,1,271,546.94,352.92,18.45,25.894270,10x,1.425
8,1,181,375.90,300.83,16.50,23.161071,10x,1.425
9,4,2,393.32,320.73,18.34,25.738461,10x,1.425
10,2,265,573.69,384.88,20.82,29.218835,10x,1.425
11,3,93,532.26,443.74,15.44,21.671342,10x,1.425
12,5,259,333.97,175.74,16.94,23.769586,10x,1.425
13,5,170,389.00,742.90,21.14,29.673849,10x,1.425
14,4,191,593.21,249.37,21.04,29.534464,10x,1.425
15,1,298,233.53,682.86,19.16,26.885270,10x,1.425
16,4,158,198.69,139.47,17.67,24.795825,10x,1.425
17,2,295,517.05,826.73,15.44,21.670807,10x,1.425
18,4,196,617.16,615.91,15.12,21.222284,10x,1.425
19,2,285,197.64,631.57,14.59,20.483299,10x,1.425
20,3,193,278.71,549.33,17.63,24.745729,10x,1.425
21,2,192,333.49,676.02,19.22,26.970937,10x,1.425
22,5,281,733.25,565.46,17.16,24.085151,10x,1.425
23,5,234,314.00,829.53,16.92,23.747883,10x,1.425
24,2,165,241.11,481.01,20.91,29.347442,10x,1.425
25,1,117,383.03,577.16,18.33,25.729235,10x,1.425
26,2,159,126.25,366.67,17.30,24.287296,10x,1.425
27,1,101,152.37,659.27,15.81,22.192535,10x,1.425
28,1,229,518.83,363.04,16.53,23.204085,10x,1.425
29,2,211,283.59,323.70,18.87,26.490671,10x,1.425
30,1,131,257.02,211.75,19.83,27.837730,10x,1.425
31,4,274,599.67,602.52,15.02,21.081717,10x,1.425
32,1,156,297.72,255.44,17.91,25.135140,10x,1.425
33,2,25,157.58,642.60,18.44,25.880359,10x,1.425
34,3,123,457.25,321.48,15.95,22.392453,10x,1.425
35,5,258,620.35,575.72,20.44,28.690301,10x,1.425
36,2,101,389.77,362.70,19.63,27.548864,10x,1.425
37,3,113,399.25,454.98,18.31,25.705015,10x,1.425
38,4,185,677.33,632.11,19.45,27.296307,10x,1.425
39,3,210,153.91,484.76,18.29,25.668925,10x,1.425
40,3,274,588.97,570.96,18.30,25.687473,10x,1.425
41,3,153,262.31,290.59,18.66,26.187918,10x,1.425
42,4,68,561.98,130.53,19.67,27.613735,10x,1.425
43,4,234,103.24,333.23,18.18,25.515021,10x,1.425
44,3,87,586.65,659.76,17.07,23.951271,10x,1.425
45,4,197,304.83,770.92,18.84,26.445565,10x,1.425
46,5,75,297.14,212.46,14.58,20.462946,10x,1.425
47,3,213,175.39,730.50,16.40,23.017012,10x,1.425
48,3,80,145.97,478.43,18.04,25.320370,10x,1.425
49,1,149,663.22,634.58,18.34,25.738573,10x,1.425
50,3,63,264.88,852.62,20.53,28.812691,10x,1.425
