droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,4,74,122.08,186.36,18.45,25.900528,10x,1.425
2,5,49,485.58,350.03,19.83,27.833448,10x,1.425
3,2,78,565.27,202.34,19.92,27.964089,10x,1.425
4,5,280,365.81,592.94,18.65,26.173602,10x,1.425
5,5,121,456.31,897.00,20.91,29.344510,10x,1.425
6,2,235,106.38,429.18,21.00,29.470308,10x,1.425
7,5,115,491.40,666.80,17.19,24.132422,10x,1.425
8,3,5,703.20,134.02,14.48,20.320130,10x,1.425
9,5,258,427.08,144.25,20.25,28.419406,10x,1.425
10,5,280,728.93,841.18,20.03,28.106247,10x,1.425
11,1,121,191.90,404.22,16.58,23.271816,10x,1.425
12,4,261,767.93,886.28,16.02,22.480933,10x,1.425
13,4,172,356.41,764.81,18.80,26.391822,10x,1.425
14,1,190,559.89,505.03,16.94,23.781833,10x,1.425
15,5,49,610.51,725.92,20.93,29.381785,10x,1.425
16,5,298,672.91,657.49,21.02,29.496949,10x,1.425
17,2,201,455.67,271.76,16.90,23.725466,10x,1.425
18,5,268,405.07,198.56,15.83,22.211808,10x,1.425
19,4,276,630.87,837.88,17.81,24.993795,10x,1.425
20,3,25,514.79,447.34,16.23,22.773417,10x,1.425
21,3,207,204.72,136.42,21.02,29.501901,10x,1.425
22,3,30,298.75,656.08,16.85,23.653400,10x,1.425
23,1,122,266.66,473.05,15.04,21.112813,10x,1.425
24,1,176,307.47,189.27,16.48,23.125287,10x,1.425
25,5,264,347.96,701.88,18.80,26.391746,10x,1.425
26,1,265,743.28,322.02,17.46,24.505186,10x,1.425
27,1,64,716.97,714.71,20.70,29.047301,10x,1.425
28,1,139,390.04,822.78,14.85,20.841196,10x,1.425
29,5,205,720.57,599.66,16.62,23.329205,10x,1.425
30,5,251,440.85,774.39,14.93,20.956323,10x,1.425
31,2,163,573.13,479.95,18.27,25.637180,10x,1.425
32,1,277,462.62,460.10,20.97,29.433269,10x,1.425
33,1,4,579.86,899.48,18.77,26.345317,10x,1.425
34,3,299,460.67,105.65,15.29,21.455061,10x,1.425
35,3,87,765.96,229.14,18.71,26.255942,10x,1.425
36,2,270,549.95,199.51,14.97,21.015088,10x,1.425
37,1,132,613.06,443.68,15.46,21.700821,10x,1.425
38,5,50,308.23,203.71,14.58,20.457004,10x,1.425
39,1,231,474.53,517.42,17.08,23.967004,10x,1.425
40,2,55,470.05,158.92,18.37,25.782763,10x,1.425
41,3,138,657.51,762.19,18.46,25.911482,10x,1.425
42,3,51,528.98,289.32,19.29,27.080580,10x,1.425
43,1,29,179.59,552.23,19.00,26.670485,10x,1.425
44,4,135,645.48,775.83,17.08,23.974511,10x,1.425
45,2,51,179.71,649.28,20.96,29.419218,10x,1.425
46,1,89,609.48,851.51,15.36,21.560626,10x,1.425
47,4,37,441.86,837.23,14.55,20.414760,10x,1.425
48,2,136,486.79,526.71,14.98,21.019053,10x,1.425
49,1,181,493.60,552.93,17.20,24.133419,10x,1.425
50,5,126,509.78,507.16,17.86,25.073351,10x,1.425
