droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,2,37,631.72,598.30,7.97,11.181774,10x,1.425
2,1,123,294.72,825.96,8.84,12.400803,10x,1.425
3,4,70,702.17,312.09,8.78,12.325686,10x,1.425
4,3,124,129.00,819.41,9.43,13.233666,10x,1.425
5,4,52,208.89,170.68,9.01,12.650751,10x,1.425
6,2,71,728.82,706.22,10.05,14.105532,10x,1.425
7,3,299,364.44,364.16,7.87,11.047237,10x,1.425
8,1,288,148.12,788.20,10.24,14.368876,10x,1.425
9,1,261,387.19,108.54,10.57,14.839123,10x,1.425
10,5,110,188.51,530.10,10.24,14.378114,10x,1.425
11,3,251,225.51,301.56,8.40,11.789131,10x,1.425
12,5,298,548.42,525.08,9.71,13.634899,10x,1.425
13,1,82,761.03,631.88,10.10,14.181951,10x,1.425
14,1,86,527.36,254.09,7.72,10.831276,10x,1.425
15,1,186,537.21,820.09,8.86,12.434935,10x,1.425
16,2,125,459.61,532.91,7.48,10.493081,10x,1.425
17,3,109,298.80,666.83,9.05,12.695986,10x,1.425
18,2,137,513.73,348.37,8.71,12.222441,10x,1.425
19,5,125,516.82,707.90,8.82,12.382145,10x,1.425
20,3,85,560.50,401.44,8.93,12.535359,10x,1.425
21,1,226,686.03,725.70,8.11,11.378332,10x,1.425
22,1,33,773.76,342.75,10.22,14.341559,10x,1.425
23,3,267,320.85,174.55,10.49,14.725097,10x,1.425
24,3,90,669.03,565.17,7.75,10.878755,10x,1.425
25,5,252,769.42,618.20,7.82,10.969566,10x,1.425
26,1,12,101.56,301.52,9.56,13.416544,10x,1.425
27,1,282,688.51,709.94,8.85,12.424277,10x,1.425
28,2,283,545.10,789.52,9.34,13.110478,10x,1.425
29,5,202,178.71,484.45,8.22,11.543764,10x,1.425
30,4,207,181.36,199.77,7.13,10.003270,10x,1.425
31,2,253,420.30,200.56,10.37,14.548915,10x,1.425
32,3,267,464.51,589.66,10.15,14.241986,10x,1.425
33,3,2,541.45,879.87,7.63,10.703790,10x,1.425
34,5,51,423.30,853.36,8.41,11.800860,10x,1.425
35,4,249,609.54,333.78,8.34,11.703112,10x,1.425
36,1,79,692.79,430.31,9.74,13.666537,10x,1.425
37,1,79,419.91,180.65,9.76,13.696791,10x,1.425
38,5,58,412.57,471.98,9.10,12.771715,10x,1.425
39,5,19,413.83,355.26,10.66,14.960462,10x,1.425
40,5,141,447.22,821.47,9.36,13.133087,10x,1.425
41,4,192,775.39,327.72,7.80,10.950539,10x,1.425
42,4,176,150.12,837.07,7.84,10.999134,10x,1.425
43,3,286,702.05,267.28,10.57,14.830569,10x,1.425
44,5,80,640.31,453.62,9.47,13.295394,10x,1.425
45,5,229,663.80,542.50,7.76,10.896958,10x,1.425
46,3,187,544.05,346.34,8.52,11.956561,10x,1.425
47,2,286,611.64,181.14,9.78,13.721752,10x,1.425
48,2,14,257.65,782.01,9.31,13.072352,10x,1.425
49,3,48,354.84,325.82,8.56,12.007176,10x,1.425
50,3,199,432.19,152.29,7.70,10.806741,10x,1.425
