droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,3,78,688.20,552.37,9.74,13.670542,10x,1.425
2,2,99,250.62,758.78,10.08,14.153667,10x,1.425
3,1,149,568.36,253.63,8.82,12.379694,10x,1.425
4,3,12,216.01,170.79,9.78,13.720662,10x,1.425
5,5,228,243.71,706.78,8.45,11.859373,10x,1.425
6,5,12,412.20,836.15,9.62,13.505500,10x,1.425
7,2,238,180.36,578.40,7.16,10.042186,10x,1.425
8,1,227,343.08,514.76,10.27,14.419823,10x,1.425
9,5,135,636.11,494.18,7.32,10.275418,10x,1.425
10,1,77,627.17,453.40,8.97,12.594816,10x,1.425
11,2,114,100.90,803.77,7.74,10.861774,10x,1.425
12,1,52,749.56,824.80,10.20,14.314561,10x,1.425
13,1,25,126.96,124.89,8.37,11.752142,10x,1.425
14,4,179,511.45,650.18,9.30,13.054319,10x,1.425
15,3,153,334.73,879.89,7.99,11.217291,10x,1.425
16,1,14,742.06,454.09,7.26,10.187332,10x,1.425
17,2,254,644.94,460.51,7.93,11.136807,10x,1.425
18,5,216,547.20,205.09,7.73,10.854466,10x,1.425
19,1,190,152.71,632.92,9.98,14.004404,10x,1.425
20,1,178,752.59,403.41,9.98,14.007328,10x,1.425
21,3,261,311.12,582.96,7.32,10.276510,10x,1.425
22,2,36,108.45,328.14,8.51,11.938800,10x,1.425
23,5,83,170.06,349.17,9.20,12.917093,10x,1.425
24,3,272,335.98,708.36,9.70,13.612964,10x,1.425
25,1,162,703.55,783.05,9.99,14.018378,10x,1.425
26,2,116,151.45,671.29,7.44,10.448064,10x,1.425
27,4,10,349.46,420.95,8.65,12.133582,10x,1.425
28,1,171,686.39,108.62,8.66,12.159708,10x,1.425
29,3,167,391.04,899.68,10.45,14.665013,10x,1.425
30,4,76,690.15,677.51,10.60,14.874340,10x,1.425
31,1,105,648.90,152.11,10.09,14.158549,10x,1.425
32,3,173,657.45,302.67,7.78,10.925691,10x,1.425
33,4,224,287.14,649.99,10.31,14.472832,10x,1.425
34,4,190,527.41,722.61,10.28,14.424679,10x,1.425
35,5,276,619.39,544.45,7.67,10.761585,10x,1.425
36,4,223,493.90,331.09,8.51,11.937426,10x,1.425
37,3,83,157.42,261.41,8.62,12.097099,10x,1.425
38,3,203,159.65,364.42,8.60,12.071900,10x,1.425
39,3,256,150.99,629.72,9.98,14.011745,10x,1.425
40,3,92,449.15,892.63,8.95,12.565235,10x,1.425
41,2,32,307.52,326.66,10.28,14.427425,10x,1.425
42,1,158,325.02,683.32,10.22,14.336849,10x,1.425
43,2,295,143.84,872.94,10.29,14.444197,10x,1.425
44,2,226,281.71,295.46,7.45,10.457092,10x,1.425
45,3,43,430.76,434.00,7.42,10.420133,10x,1.425
46,5,192,585.20,786.39,7.69,10.792153,10x,1.425
47,2,248,167.81,613.06,7.73,10.852768,10x,1.425
48,3,249,455.41,598.44,9.21,12.932924,10x,1.425
49,5,69,792.75,683.00,10.16,14.255400,10x,1.425
50,4,38,388.29,510.22,9.79,13.735189,10x,1.425
