droplet_id,roi_id,frame,center_x,center_y,radius_px,diameter_um,magnification,pixels_per_um
1,5,143,352.26,551.23,16.29,22.867021,10x,1.425
2,4,253,509.89,179.94,19.85,27.862039,10x,1.425
3,4,140,167.02,733.13,17.76,24.921000,10x,1.425
4,3,40,339.05,376.29,14.64,20.549016,10x,1.425
5,1,228,535.71,434.94,18.83,26.424290,10x,1.425
6,4,110,648.50,785.80,16.28,22.854481,10x,1.425
7,3,287,595.19,707.22,16.58,23.267492,10x,1.425
8,1,37,478.09,645.91,16.24,22.798841,10x,1.425
9,5,196,556.85,692.96,18.07,25.367362,10x,1.425
10,2,207,522.45,213.02,15.59,21.879613,10x,1.425
11,4,151,111.58,167.80,17.40,24.426013,10x,1.425
12,2,122,575.56,466.49,15.18,21.310635,10x,1.425
13,2,182,770.62,375.61,15.64,21.949683,10x,1.425
14,2,206,570.99,216.08,16.83,23.619384,10x,1.425
15,4,45,633.26,216.98,20.43,28.666750,10x,1.425
16,4,139,468.69,488.29,14.65,20.558096,10x,1.425
17,2,232,386.81,538.40,15.12,21.215433,10x,1.425
18,4,170,330.48,267.51,16.67,23.392992,10x,1.425
19,4,233,229.73,214.93,14.62,20.519520,10x,1.425
20,3,232,588.99,750.63,20.43,28.679880,10x,1.425
21,3,64,111.65,385.36,16.15,22.672350,10x,1.425
22,4,116,249.87,805.33,17.94,25.178665,10x,1.425
23,1,94,638.00,876.43,15.45,21.690524,10x,1.425
24,1,69,162.28,143.68,14.32,20.092481,10x,1.425
25,2,176,144.98,401.71,17.75,24.916559,10x,1.425
26,3,119,437.46,155.41,17.72,24.866977,10x,1.425
27,2,235,383.84,673.22,16.62,23.321130,10x,1.425
28,4,258,104.04,755.15,16.19,22.727676,10x,1.425
29,3,180,286.91,201.58,16.55,23.227018,10x,1.425
30,4,79,124.07,552.07,17.48,24.535244,10x,1.425
31,4,52,181.38,381.60,15.82,22.199538,10x,1.425
32,3,222,467.03,795.77,18.06,25.348047,10x,1.425
33,5,77,391.79,494.71,19.28,27.056806,10x,1.425
34,2,171,150.24,587.25,20.50,28.768262,10x,1.425
35,2,74,233.53,470.01,21.01,29.483728,10x,1.425
36,3,205,259.42,246.53,18.12,25.431873,10x,1.425
37,1,50,482.94,641.55,17.60,24.706537,10x,1.425
38,2,290,596.99,809.37,18.15,25.474452,10x,1.425
39,4,129,222.12,338.36,20.99,29.465203,10x,1.425
40,5,102,122.47,347.45,14.63,20.530429,10x,1.425
41,3,136,446.46,457.33,20.63,28.958243,10x,1.425
42,1,199,486.21,384.76,20.14,28.269887,10x,1.425
43,3,157,468.55,806.04,19.33,27.123616,10x,1.425
44,3,110,281.54,713.27,17.23,24.183660,10x,1.425
45,3,5,673.32,295.56,16.57,23.252531,10x,1.425
46,5,145,120.80,448.05,18.52,25.999300,10x,1.425
47,5,54,613.18,873.01,20.33,28.526326,10x,1.425
48,2,190,709.65,371.28,15.87,22.277966,10x,1.425
49,4,172,528.14,748.84,16.10,22.592705,10x,1.425
50,4,85,383.23,876.11,20.11,28.230078,10x,1.425
